word	tag	freq_A1	freq_A2	freq_B1	freq_B2	freq_C1	freq_C2	freq_total
go	NOM	0.0	0.0	0.3906	0.0	0.0	0.0	0.0363
gobelet	NOM	0.0	0.0	0.5857	0.0	0.0	0.0	0.0544
godille	NOM	0.0	0.0	0.0	0.0	4.139	0.0	0.0975
golden	NOM	0.0	0.0	0.0	1.2705	0.0	0.0	0.0342
golf	NOM	0.9121	4.0617	0.0	8.4014	0.0	0.0	3.3678
golfe	NOM	0.0	0.0	3.4688	0.0	0.0	0.0	0.6561
gomme	NOM	0.0	0.0	0.5857	0.0	6.0005	0.0	0.684
gommer	VER	0.0	0.0	3.6187	2.2839	0.0	0.0	1.5454
gondole	NOM	1.1764	0.0	0.0	0.0	0.0	0.0	0.0216
gonfle	ADJ	0.0	0.5213	0.0	0.0	0.0	0.0	0.0251
gonfler	VER	0.0	0.0	3.5957	1.3018	0.0	0.0	1.5077
gonflé	ADJ	0.0	0.2891	0.0	0.0	0.0	0.0	0.0139
gorge	NOM	0.5504	1.8025	33.4829	10.8364	54.0583	0.0	22.3323
gorgonzola	NOM	0.0	0.0	0.438	0.0	0.0	0.0	0.0652
gorgée	NOM	0.0	0.0	0.3906	0.0	0.0	0.0	0.0363
gosse	NOM	0.0	0.4157	12.3613	0.0	12.0009	0.0	5.4583
gothique	NOM	0.0	0.0	0.0	2.2839	0.0	0.0	0.0614
gothique	ADJ	0.0	0.0	0.0	0.0	19.861	0.0	0.7262
goudron	NOM	0.0	0.0	0.0	2.2839	0.0	0.0	0.0614
gouffre	NOM	0.5504	0.0	2.9063	0.0	20.024	0.0	2.8074
gourde	NOM	0.0	0.5781	0.0	0.0	0.0	0.0	0.0279
gourmand	ADJ	0.0	0.0	3.2268	9.0915	20.024	0.0	4.5747
gourmand	NOM	1.1556	0.0	0.2504	0.0	6.0005	0.0	1.3292
gourmander	VER	0.0	0.0	0.2504	0.0	0.0	0.0	0.0233
gourmet	NOM	0.0	0.0	0.2504	1.2705	6.0005	0.0	1.3554
gourou	NOM	0.0	0.0	0.5531	0.0	0.0	0.0	0.0514
gousse	NOM	0.4856	0.0	0.0	0.0	0.0	0.0	0.0089
goutte	NOM	0.0	9.9763	22.5633	13.8484	41.2358	0.0	17.8199
goutte-à-goutte	NOM	0.0	0.0	0.0	0.0	0.0	19.328	0.1431
goutter	VER	0.0	0.0	0.487	0.0	0.0	0.0	0.0452
gouttière	NOM	0.0	0.0	0.0	0.0	20.024	0.0	0.7219
gouvernant	NOM	6.2913	0.0	0.5531	0.0	0.0	0.0	0.6719
gouvernement	NOM	7.9276	65.2165	71.0385	83.0114	302.0189	328.3789	104.6908
gouvernemental	ADJ	0.0	3.3389	12.1061	0.0	0.0	38.4989	6.8598
gouverner	VER	0.0	0.186	0.0	0.0	68.3463	19.328	4.2015
gouverneur	NOM	0.0	0.0	0.5857	4.5679	0.0	0.0	1.0074
goût	NOM	79.2308	56.3165	150.0475	97.7299	50.0526	44.6051	103.4466
goûter	NOM	0.9464	4.2847	0.6378	0.0	6.8846	0.0	3.6333
goûter	VER	39.2236	0.6228	4.9077	14.4824	19.861	0.0	14.9848
gracier	VER	0.0	0.0	0.0	0.0	18.0014	0.0	0.4293
gracieusement	ADV	0.0	0.0	3.5736	0.0	0.0	0.0	0.6755
gracieux	ADJ	0.0	0.0	0.0	0.911	6.0005	0.0	0.7202
gradin	NOM	0.0	0.0	0.2331	0.911	0.0	0.0	0.7046
graduellement	ADV	0.0	0.0	0.0	0.0	4.139	12.833	0.1951
gradé	ADJ	0.0	0.0	0.0	2.2839	0.0	0.0	0.0614
grain	NOM	0.7319	0.0	7.4697	1.2705	4.139	0.0	5.4021
graine	NOM	0.0	0.0	3.6638	0.0	20.6179	0.0	2.5065
graisse	NOM	0.0	0.0	3.6423	0.0	0.0	25.6659	2.1337
grammaire	NOM	0.0	0.0	4.768	1.2705	3.4423	0.0	3.1329
gramme	NOM	10.5277	0.0	0.0	0.0	40.0479	0.0	4.0604
grand	ADJ	2102.3269	1941.2323	1731.1414	1492.8709	1511.9526	1327.5406	1751.4399
grand-chose	NOM	16.1239	0.3729	7.7117	0.0	40.6321	0.0	9.4514
grand-messe	NOM	0.0	0.0	0.4665	0.0	0.0	0.0	0.0433
grand-mère	NOM	107.7136	107.7854	14.7123	14.1801	0.0	56.7717	50.9697
